日期,销量
2021-03-31,1299
2021-04-01,1279
2021-04-02,1295
2021-04-03,1328
2021-04-04,1329
2021-04-05,1302
2021-04-06,1307
2021-04-07,1362
2021-04-08,1310
2021-04-09,1306
2021-04-10,1313
2021-04-11,1348
2021-04-12,1359
2021-04-13,1402
2021-04-14,1357
2021-04-15,1342
2021-04-16,1381
2021-04-17,1377
2021-04-18,1396
2021-04-19,1429
2021-04-20,1360
2021-04-21,1372
2021-04-22,1413
2021-04-23,1432
2021-04-24,1423
2021-04-25,1459
2021-04-26,1430
2021-04-27,1478
2021-04-28,1418
2021-04-29,1412
2021-04-30,1481
2021-05-01,1459
2021-05-02,1486
2021-05-03,1427
2021-05-04,1504
2021-05-05,1476
2021-05-06,1513
2021-05-07,1533
2021-05-08,1482
2021-05-09,1539
2021-05-10,1520
2021-05-11,1501
2021-05-12,1470
2021-05-13,1544
2021-05-14,1478
2021-05-15,1529
2021-05-16,1508
2021-05-17,1538
2021-05-18,1554
2021-05-19,1558
2021-05-20,1562
2021-05-21,1553
2021-05-22,1569
2021-05-23,1611
2021-05-24,1610
2021-05-25,1623
2021-05-26,1604
2021-05-27,1578
2021-05-28,1561
2021-05-29,1610
2021-05-30,1574
2021-05-31,1605
2021-06-01,1661
2021-06-02,1616
2021-06-03,1669
2021-06-04,1594
2021-06-05,1594
2021-06-06,1684
2021-06-07,1602
2021-06-08,1617
2021-06-09,1609
2021-06-10,1698
2021-06-11,1631
2021-06-12,1641
2021-06-13,1625
2021-06-14,1688
2021-06-15,1635
2021-06-16,1658
2021-06-17,1695
2021-06-18,1716
2021-06-19,1698
2021-06-20,1690
2021-06-21,1755
2021-06-22,1736
2021-06-23,1678
2021-06-24,1740
2021-06-25,1691
2021-06-26,1726
2021-06-27,1709
2021-06-28,1784
2021-06-29,1736
2021-06-30,1739
2021-07-01,1777
2021-07-02,1738
2021-07-03,1743
2021-07-04,1747
2021-07-05,1791
2021-07-06,1768
2021-07-07,1839
2021-07-08,1777
2021-07-09,1760
2021-07-10,1855
2021-07-11,1787
2021-07-12,1862
2021-07-13,1802
2021-07-14,1782
2021-07-15,1827
2021-07-16,1878
2021-07-17,1893
