日期,销量
2021-06-23,1748
2021-06-24,1731
2021-06-25,1705
2021-06-26,1717
2021-06-27,1707
2021-06-28,1782
2021-06-29,1799
2021-06-30,1777
2021-07-01,1742
2021-07-02,1742
2021-07-03,1744
2021-07-04,1778
2021-07-05,1821
2021-07-06,1772
2021-07-07,1793
2021-07-08,1791
2021-07-09,1791
2021-07-10,1818
2021-07-11,1776
2021-07-12,1850
2021-07-13,1829
2021-07-14,1844
2021-07-15,1839
2021-07-16,1794
2021-07-17,1834
